45;(%STANDARD%: AMI 286 BIOS);Type 25;69;925,00;9,00;17,00;-1,00;925,00;MFM;925,00;9,00;17,00
46;(%STANDARD%: AMI 286 BIOS);Type 26;44;754,00;7,00;17,00;754,00;754,00;MFM;754,00;7,00;17,00
47;(%STANDARD%: AMI 286 BIOS);Type 27;69;754,00;11,00;17,00;-1,00;754,00;MFM;754,00;11,00;17,00
48;(%STANDARD%: AMI 286 BIOS);Type 28;41;699,00;7,00;17,00;256,00;699,00;MFM;699,00;7,00;17,00
49;(%STANDARD%: AMI 286 BIOS);Type 29;68;823,00;10,00;17,00;-1,00;823,00;MFM;823,00;10,00;17,00
50;(%STANDARD%: AMI 286 BIOS);Type 30;53;918,00;7,00;17,00;918,00;918,00;MFM;918,00;7,00;17,00
51;(%STANDARD%: AMI 286 BIOS);Type 31;94;1024,00;11,00;17,00;-1,00;1024,00;MFM;1024,00;11,00;17,00
52;(%STANDARD%: AMI 286 BIOS);Type 32;128;1024,00;15,00;17,00;-1,00;1024,00;MFM;1024,00;15,00;17,00
53;(%STANDARD%: AMI 286 BIOS);Type 33;42;1024,00;5,00;17,00;1024,00;1024,00;MFM;1024,00;5,00;17,00
54;(%STANDARD%: AMI 286 BIOS);Type 34;10;612,00;2,00;17,00;128,00;612,00;MFM;612,00;2,00;17,00
55;(%STANDARD%: AMI 286 BIOS);Type 35;76;1024,00;9,00;17,00;-1,00;1024,00;MFM;1024,00;9,00;17,00
56;(%STANDARD%: AMI 286 BIOS);Type 36;68;1024,00;8,00;17,00;512,00;1024,00;MFM;1024,00;8,00;17,00
57;(%STANDARD%: AMI 286 BIOS);Type 37;41;615,00;8,00;17,00;128,00;615,00;MFM;615,00;8,00;17,00
58;(%STANDARD%: AMI 286 BIOS);Type 38;25;987,00;3,00;17,00;987,00;987,00;MFM;987,00;3,00;17,00
59;(%STANDARD%: AMI 286 BIOS);Type 39;57;987,00;7,00;17,00;987,00;987,00;MFM;987,00;7,00;17,00
60;(%STANDARD%: AMI 286 BIOS);Type 40;41;820,00;6,00;17,00;820,00;820,00;MFM;820,00;6,00;17,00
61;(%STANDARD%: AMI 286 BIOS);Type 41;41;977,00;5,00;17,00;977,00;977,00;MFM;977,00;5,00;17,00
62;(%STANDARD%: AMI 286 BIOS);Type 42;41;981,00;5,00;17,00;981,00;981,00;MFM;981,00;5,00;17,00
63;(%STANDARD%: AMI 286 BIOS);Type 43;48;830,00;7,00;17,00;512,00;830,00;MFM;830,00;7,00;17,00
64;(%STANDARD%: AMI 286 BIOS);Type 44;69;830,00;10,00;17,00;-1,00;830,00;MFM;830,00;10,00;17,00
65;(%STANDARD%: AMI 286 BIOS);Type 45;114;917,00;15,00;17,00;-1,00;918,00;MFM;917,00;15,00;17,00
66;(%STANDARD%: AMI 286 BIOS);Type 46;152;1224,00;15,00;17,00;-1,00;1223,00;MFM;1224,00;15,00;17,00
67;(%STANDARD%: Phoenix 386 BIOS);Type 24;100;1004,00;12,00;17,00;-1,00;1005,00;MFM;1004,00;12,00;17,00
68;(%STANDARD%: Phoenix 386 BIOS);Type 25;203;683,00;16,00;38,00;-1,00;684,00;RLL;683,00;16,00;38,00
69;(%STANDARD%: Phoenix 386 BIOS);Type 26;34;1024,00;4,00;17,00;-1,00;1023,00;MFM;1024,00;4,00;17,00
70;(%STANDARD%: Phoenix 386 BIOS);Type 27;42;1024,00;5,00;17,00;-1,00;1023,00;MFM;1024,00;5,00;17,00
71;(%STANDARD%: Phoenix 386 BIOS);Type 28;68;1024,00;8,00;17,00;-1,00;1023,00;MFM;1024,00;8,00;17,00
72;(%STANDARD%: Phoenix 386 BIOS);Type 29;116;762,00;8,00;39,00;-1,00;763,00;RLL;762,00;8,00;39,00
73;(%STANDARD%: Phoenix 386 BIOS);Type 30;114;814,00;9,00;32,00;-1,00;815,00;RLL;814,00;9,00;32,00
74;(%STANDARD%: Phoenix 386 BIOS);Type 31;41;989,00;5,00;17,00;0,00;989,00;MFM;989,00;5,00;17,00
75;(%STANDARD%: Phoenix 386 BIOS);Type 32;127;1020,00;15,00;17,00;-1,00;1024,00;MFM;1020,00;15,00;17,00
76;(%STANDARD%: Phoenix 386 BIOS);Type 33;161;968,00;10,00;34,00;-1,00;969,00;RLL;968,00;10,00;34,00
77;(%STANDARD%: Phoenix 386 BIOS);Type 34;199;873,00;13,00;36,00;-1,00;874,00;RLL;873,00;13,00;36,00
78;(%STANDARD%: Phoenix 386 BIOS);Type 35;76;1024,00;9,00;17,00;1024,00;1024,00;MFM;1024,00;9,00;17,00
79;(%STANDARD%: Phoenix 386 BIOS);Type 36;42;1024,00;5,00;17,00;512,00;1024,00;MFM;1024,00;5,00;17,00
80;(%STANDARD%: Phoenix 386 BIOS);Type 37;65;1024,00;5,00;26,00;512,00;1024,00;RLL;1024,00;5,00;26,00
81;(%STANDARD%: Phoenix 386 BIOS);Type 38;68;823,00;10,00;17,00;256,00;824,00;MFM;823,00;10,00;17,00
82;(%STANDARD%: Phoenix 386 BIOS);Type 39;81;980,00;10,00;17,00;-1,00;981,00;MFM;980,00;10,00;17,00
83;(%STANDARD%: Phoenix 386 BIOS);Type 40;41;615,00;8,00;17,00;128,00;664,00;MFM;615,00;8,00;17,00
84;(%STANDARD%: Phoenix 386 BIOS);Type 41;114;917,00;15,00;17,00;-1,00;918,00;MFM;917,00;15,00;17,00
85;(%STANDARD%: Phoenix 386 BIOS);Type 42;127;1023,00;15,00;17,00;-1,00;1024,00;MFM;1023,00;15,00;17,00
86;(%STANDARD%: Phoenix 386 BIOS);Type 43;68;823,00;10,00;17,00;512,00;823,00;MFM;823,00;10,00;17,00
87;(%STANDARD%: Phoenix 386 BIOS);Type 44;41;820,00;6,00;17,00;-1,00;820,00;MFM;820,00;6,00;17,00
88;(%STANDARD%: Phoenix 386 BIOS);Type 45;42;1024,00;5,00;17,00;-1,00;1023,00;MFM;1024,00;5,00;17,00
89;(%STANDARD%: Phoenix 386 BIOS);Type 46;69;925,00;9,00;17,00;-1,00;925,00;MFM;925,00;9,00;17,00
90;(%STANDARD%: Phoenix 386 BIOS);Type 47;41;699,00;7,00;17,00;256,00;700,00;MFM;699,00;7,00;17,00
91;(%STANDARD%: Phoenix 286 BIOS);Type 34;42;1024,00;5,00;17,00;512,00;1024,00;MFM;1024,00;5,00;17,00
92;(%STANDARD%: Phoenix 286 BIOS);Type 35;69;830,00;10,00;17,00;-1,00;830,00;MFM;830,00;10,00;17,00
93;(%STANDARD%: Phoenix 286 BIOS);Type 36;68;823,00;10,00;17,00;256,00;824,00;MFM;823,00;10,00;17,00
94;(%STANDARD%: Phoenix 286 BIOS);Type 37;20;615,00;4,00;17,00;128,00;664,00;MFM;615,00;4,00;17,00
95;(%STANDARD%: Phoenix 286 BIOS);Type 38;41;615,00;8,00;17,00;128,00;664,00;MFM;615,00;8,00;17,00
96;(%STANDARD%: Phoenix 286 BIOS);Type 39;114;917,00;15,00;17,00;-1,00;918,00;MFM;917,00;15,00;17,00
97;(%STANDARD%: Phoenix 286 BIOS);Type 40;127;1023,00;15,00;17,00;-1,00;1024,00;MFM;1023,00;15,00;17,00
98;(%STANDARD%: Phoenix 286 BIOS);Type 41;68;823,00;10,00;17,00;512,00;823,00;MFM;823,00;10,00;17,00
99;(%STANDARD%: Phoenix 286 BIOS);Type 42;41;820,00;6,00;17,00;-1,00;820,00;MFM;820,00;6,00;17,00
100;(%STANDARD%: Phoenix 286 BIOS);Type 43;68;1024,00;8,00;17,00;-1,00;1024,00;MFM;1024,00;8,00;17,00
101;(%STANDARD%: Phoenix 286 BIOS);Type 44;69;925,00;9,00;17,00;-1,00;925,00;MFM;925,00;9,00;17,00
102;(%STANDARD%: Phoenix 286 BIOS);Type 45;42;1024,00;5,00;17,00;-1,00;1024,00;MFM;1024,00;5,00;17,00
103;(%STANDARD%: Award 486 BIOS);Type 24;41;977,00;5,00;17,00;-1,00;976,00;MFM;977,00;5,00;17,00
104;(%STANDARD%: Award 486 BIOS);Type 25;76;1024,00;9,00;17,00;-1,00;1023,00;MFM;1024,00;9,00;17,00
105;(%STANDARD%: Award 486 BIOS);Type 26;71;1224,00;7,00;17,00;-1,00;1223,00;MFM;1224,00;7,00;17,00
